DATETIME,RECIPE,TOOL,INDEX,VALUE,X,Y,REFERANCE,SUBSTANCE,SUBSTANCE_X_LENGTH,SUBSTANCE_Y_LENGTH,SUBSTANCE_PERIMETER,SUBSTANCE_AREA,SUBSTANCE_ELONGATION,FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,STRING
2018.02.23 10:26:57 758,1,BLOB,1,16489,1074.41097095033,543.592728485657,D(0),알수없음,131,177,711,16489,1.16,.\Image\NG\2018\02\23\알수없음\10-26-57 758.bmp
2018.02.23 10:26:57 812,1,BLOB,1,14462,1077.94938459411,464.38120591896,D(0),알수없음,133,112,461.6,14462,1.5,.\Image\NG\2018\02\23\알수없음\10-26-57 812.bmp
2018.02.23 10:26:57 925,1,BLOB,1,75,1144.20666666667,569.873333333333,D(0),알수없음,10,15,61.2,75,1.71,.\Image\NG\2018\02\23\알수없음\10-26-57 925.bmp
2018.02.23 10:26:57 982,1,BLOB,1,252,1140.42857142857,439.361111111111,D(0),알수없음,20,62,195.7,252,86.44,.\Image\NG\2018\02\23\알수없음\10-26-57 982.bmp
2018.02.23 10:26:58 102,1,BLOB,1,23835,1082.00220264317,509.23916509335,D(0),알수없음,138,200,768,23835,2.16,.\Image\NG\2018\02\23\알수없음\10-26-58 102.bmp
2018.02.23 10:26:58 210,1,BLOB,1,10931,1082.08000182966,570.806376360809,D(0),알수없음,144,81,438.3,10931,3.19,.\Image\NG\2018\02\23\알수없음\10-26-58 210.bmp
2018.02.23 10:26:58 442,1,BLOB,1,16489,1074.41097095033,543.592728485657,D(0),알수없음,131,177,711,16489,1.16,.\Image\NG\2018\02\23\알수없음\10-26-58 442.bmp
2018.02.23 10:26:58 496,1,BLOB,1,14462,1077.94938459411,464.38120591896,D(0),알수없음,133,112,461.6,14462,1.5,.\Image\NG\2018\02\23\알수없음\10-26-58 496.bmp
2018.02.23 10:26:58 603,1,BLOB,1,75,1144.20666666667,569.873333333333,D(0),알수없음,10,15,61.2,75,1.71,.\Image\NG\2018\02\23\알수없음\10-26-58 603.bmp
2018.02.23 10:26:58 663,1,BLOB,1,252,1140.42857142857,439.361111111111,D(0),알수없음,20,62,195.7,252,86.44,.\Image\NG\2018\02\23\알수없음\10-26-58 663.bmp
2018.02.23 10:26:58 776,1,BLOB,1,23835,1082.00220264317,509.23916509335,D(0),알수없음,138,200,768,23835,2.16,.\Image\NG\2018\02\23\알수없음\10-26-58 776.bmp
2018.02.23 10:26:58 878,1,BLOB,1,10931,1082.08000182966,570.806376360809,D(0),알수없음,144,81,438.3,10931,3.19,.\Image\NG\2018\02\23\알수없음\10-26-58 878.bmp
2018.02.23 10:26:59 096,1,BLOB,1,16489,1074.41097095033,543.592728485657,D(0),알수없음,131,177,711,16489,1.16,.\Image\NG\2018\02\23\알수없음\10-26-59 096.bmp
2018.02.23 10:26:59 148,1,BLOB,1,14462,1077.94938459411,464.38120591896,D(0),알수없음,133,112,461.6,14462,1.5,.\Image\NG\2018\02\23\알수없음\10-26-59 148.bmp
2018.02.23 10:26:59 257,1,BLOB,1,75,1144.20666666667,569.873333333333,D(0),알수없음,10,15,61.2,75,1.71,.\Image\NG\2018\02\23\알수없음\10-26-59 257.bmp
2018.02.23 10:26:59 316,1,BLOB,1,252,1140.42857142857,439.361111111111,D(0),알수없음,20,62,195.7,252,86.44,.\Image\NG\2018\02\23\알수없음\10-26-59 316.bmp
2018.02.23 10:26:59 427,1,BLOB,1,23835,1082.00220264317,509.23916509335,D(0),알수없음,138,200,768,23835,2.16,.\Image\NG\2018\02\23\알수없음\10-26-59 427.bmp
2018.02.23 10:26:59 542,1,BLOB,1,10931,1082.08000182966,570.806376360809,D(0),알수없음,144,81,438.3,10931,3.19,.\Image\NG\2018\02\23\알수없음\10-26-59 542.bmp
